KEY,English,japanese(翻訳),翻訳率:93.04% (1044/1122)
TutC1T2A2Complete,Ah much better now.\nI am really hungry - Let's make a sandwich\n[fff400]Ingredients should be in the fridge in the livingroom.[-],ああ、だいぶ気分が良くなった。\nお腹がすごく空いてきた – サンドイッチを作ってみよう\n[fff400]食材はリビングルームの冷蔵庫にあるはずだ。[-],
TutC1T3Title,Corridor,通路,
TutC1T3A1,Leave Bathroom,バスルームから出る,
TutC1T3A1Complete,"[i]MESSAGE RECEIVED[/i]\n\nHey Chief, you alright?\n\nWas a hell of a party last night, eh?\n\nGet yourself back into shape and meet us at rendezvouz point Alpha.\nThe schedule for today is still tight and the tech guys did not track down what we broke yesterday.\n\nBy the way...I put your suit back into your locker in the Equipment Room after some...er...cleaning.\nMaybe you'll want to pick up your stuff before reporting back to duty.\n\nSee ya later!\n\n- Alex",[i]メッセージを受信[/i]\n\nおーい、大丈夫ですか、チーフ?\n\n昨夜はどんちゃん騒ぎでしたねぇ\n\n身支度を済ませてから、ランデブーポイント・アルファで落ち合いましょう。\n今日の予定は未だギッシリ、技術者は昨日損傷した箇所を特定出来ていません。\n\nところで…あなたのスーツを機器室のロッカーに戻しておきましたよ、ちゃんとゲ…あー…洗った後で。\n出勤前に備品を取りに行ったほうがいいと思いますよ。\nではまた後ほど!\n\n- アレックス,
TutC1T4Title,Access Fridge,冷蔵庫を開ける,
TutC1T4A1,GO TO FRIDGE,冷蔵庫へ行く,
TutC1T4A1Complete,[i]PDA wristband beeps[/i]\n[ff2400]Open or close devices with F[-].,[i]PDAリストバンドのビープ音[/i]\n[ff2400]Fでデバイスを開閉します。[-],
TutC1T4A2,Open Fridge,冷蔵庫を覗く,
TutC1T5Title,Fridge,冷蔵庫,
TutC1T5StartMessage,Hm..nice. Let's see if I can [fff400]move all ingredients to my inventory at once[-] by using [ff2400]the arrow on the top right.[-],ふむ…いいね。 [ff2400]右上の矢印[-]を使って[fff400]すべての材料をすぐにインベントリに移す[-]ことができるかどうかを試してみよう。,
TutC1T5A1,Take Ingredients,食材を取る,
TutC1T6Title,Food Processor,フードプロセッサー,
TutC1T6StartMessage,Awesome. Now let's [fff400]open the food processor[-] and make a sandwich.,素晴らしい。 さあ、[fff400]フードプロセッサーを開いて[-]、サンドイッチを作ってみよう。,
TutC1T6A1,Open Food Processor,フードプロフェッサーを開く,
TutC1T6A1Complete,First: Add ingredients to the food processor input.\n\nThis will go faster by [ff2400]holding SHIFT while clicking on each ingredient with LEFT MOUSE BUTTON.[-],まずフードプロセッサーへ材料を入れる。\n\n[ff2400]SHIFTを押しながら各素材を左クリック[-]すると手早く行える。,
TutC1T6A2,Drop Ingredients,食材を入れる,
TutC1T6A2Complete,Now I just need to [fff400]select the Sandwich[-] with a [ff2400]Left Mouse click[-] from the list of available meals on the right side - and wait.,さあて、右側の利用可能な食事のリストから[ff2400]左クリック[-]で[fff400]サンドウィッチを選択[-]して…待とうか。,
TutC1T6A3,Make Sandwich,サンドイッチを作る,
TutC1T6A3Complete,Hail to the magical cooking machine.\n\nTime to eat: hold [ff2400]SHIFT and click RIGHT mouse button[-] to remove and consume the meal.,魔法の調理機械に敬礼。\n\n食事時:[ff2400]SHIFTを押しながら食べ物を右クリック[-]でも食べることができる。,
TutC1T6A4,Eat Sandwich,サンドイッチを食べる,
TutC1T6A4Complete,Ahhh...a sandwich in the morning..,ああ…朝のサンドイッチだ…,
TutC1T6A5,Exit inventory,インベントリから抜ける,
TutC1T7Title,Have a nap,仮眠を取る,
TutC1T7StartMessage,..but now I am feeling a bit tired. Maybe first I should have a quick nap.,…だが今は少し疲れているな。 仮眠を取ったほうが良いだろう。,
TutC1T7A1,Go to Bed,寝る,
TutC1T7A2,Relax,リラックス,
TutC1T7A2Complete,Now I am ready to go!,出発する準備が整った!,
TutC1T8Title,Apartment,居住区画,
TutC1T8A1,Leave Apartment | Code 1234,居住区画を去る | コードは1234,
TutC1T8A1Complete,Code for the door is set to [ff2400]1234[-]...no comment..,ドアの解除コードは[ff2400]1234[-]…何も言うことなし…,
TutC1T8A2,Use Elevator Down,エレベーターで降りる,
TutC2Title,Reporting for Duty,出勤,
TutC2Complete,"[f98009][b]I.D.A...Integrated Data Assistant[/b] reporting back for duty.\n\nHello Chief!\nI have been updated to version 7.0, adding a message LOG, where you can read all messages again:\n\nOpen the PDA with [ff2400]F1[-], then click on the headline of the\ncurrently active mission in the list on the left and\n switch to [ff2400]PDA LOG[-] with the top right button.\n\nI am now updating mission parameters. This will take a while.[-]\n\nAh, great. Good to hear your voice, IDA. I'll quickly do my delivery job and we'll do the mission briefing afterwards.\n\n[c][f98009]Ok, Delivery Chief.[-]\n\nHmm..did they patch in some humor?\n\n[f98009]Call me SODALG.[-]\n\n ...?\n\n[f98009]To use the Transporter, step on the transporter platform.\nThen face the key panel in front of you and \nconfirm the transport by clicking [ff2400](F)[-][-]",[f98009][b]I.D.A(Integrated Data Assistant)[/b] 起動しました。\n\nおはようございます、チーフ!\n私のバージョンが7.0に更新されました。\nメッセージログが追加され、全てのメッセージをもう一度読むことが出来るようになりました:\n\n[ff2400]F1[-]でPDAを開き、左側のリストから現在アクティブなミッションの見出しをクリックして切り替えてください。\n[ff2400] PDAログ[-]は右上のボタンで表示されます。\n\nミッションパラメータの更新中…しばらく時間がかかります。[-]\n\nあぁ、良かった。声が聞けて嬉しいよ、IDA。\n早めに配達業務を終えて、その後でミッションブリーフィングをしようか。\n\n[c][f98009]了解しました、配達科チーフ。[-]\n\nうーむ…奴らはユーモアパッチでも当てたのか?\n\n[f98009]SODALGとお呼びください。[-]\n\n …?\n\n[f98009]瞬間移動装置を使用するためには、装置の台の上にお立ちください。\nそして目の前のキーパネルに向かい、[ff2400](F)[-]を押して瞬間移動を了承してください。[-],
TutC2T1Title,CheckIn,チェックイン,
TutC2T1A1,Go Downstairs,階段を降りる,
TutC2T1A1Complete,[00dfff][Quartermaster][-] Get in here. Your stuff is in the closet on the left.,[00dfff][需品将校][-]中に入って。あんたの所持品は左のクローゼットだ。,
TutC2T2Title,Pick up Equipment,装備を整える,
TutC2T2A1,Go to Closet,クローゼットへ,
TutC2T2A1Complete,"Huh..the quartermaster is an alien? Hmpf..think this bad trip is not over yet. Better keep my mouth shut, no need to speak with human resources again...",ハァ…需品将校はエイリアンか? フン…この悪い流れはまだ続くようだ。口をつぐんでおく方がいいか、もう話すことはないのだから…,
TutC2T2A2,Access Closet,クローゼットを開ける,
TutC2T3Title,Personal Equipment,個人装備,
TutC2T3StartMessage,"Ok. Personal equipment - check. I better [ff2400]drag & drop[-] the Pistol,\nFlashlight and the Emergency Ration to my toolbar.",OK。 個人装備…よし。 ハンドガンにフラッシュライト、非常食を\nツールバーに[ff2400]ドラッグ&ドロップ[-]しておかなくては。,
TutC2T3A1,Equip Pistol,ハンドガンを装備,
TutC2T3A1Complete,"I'll just [ff2400]move the Ammo to my inventory[-], as it is reloaded from there. Modern times, eh?",いつでもリロードできるように、[ff2400]弾薬をインベントリに移動[-]しておこう。,
TutC2T3A2,Put Ammo to Inventory,インベントリに弾薬を追加する,
TutC2T3A2Complete,I need to talk to the Tech Corner guy and grab some additional ammo.,テックコーナーの職員と話して、追加の弾薬を貰っとかなきゃな。,
TutC2T3A3,Equip Flashlight,フラッシュライトを装備する,
TutC2T3A3Complete,Not sure if I need this anyhow. The suit has a [fff400]built in Headlamp[-] activated with [ff2400](L)[-] I think.,これが要るようには思えないが。 スーツに[ff2400](L)[-]で使える[fff400]ヘッドランプ[-]が内蔵されてるからな。,
TutC2T3A4,Equip Emergency Ration,非常食を装備,
TutC2T3A4Complete,It's always good to have one of these Emergency Rations ready for use. I heard of someone starving to death while working on a vessel...,いかなる時でも非常食を常備しておくのは良いことだ。 宇宙船での職務中に餓死した職員の話もあることだしな…。,
TutC2T4Title,Personal Inventory,パーソナルインベントリ,
TutC2T4A1,Exit inventory,インベントリを終了する,
TutC2T5Title,Armor Locker,アーマーロッカー,
TutC2T5StartMessage,[00dfff][Quartermaster][-]\n\nTake your time...NOT!\n\nGet your head out of the closet and jump in your suit!\n\n[fff400]It's in the armor locker behind me.[-]\n\nDo I need to say it took me an hour to clean it?,[00dfff][需品将校][-]\n\nゆっくりしていっ…てんじゃないよ!\n\nいつまでもクローゼット覗いてないで、とっととスーツを装着していけ!\n\n[fff400]後ろのアーマーロッカーに入ってるよ。[-]\n\nそれの洗浄にどれだけ苦労したかわかってるか?,
TutC2T5A1,Go To Armor Locker,アーマーロッカーへ移動する,
TutC2T6Title,Equip Suit,スーツを装着,
TutC2T6A1,Access Armor Locker,アーマーロッカーへアクセス,
TutC2T6A1Complete,"Wow...new and shiny!\n\nSo, let's [ff2400]drag & drop[-] the SUIT to the ARMOR slot.",おぉ…新品ピカピカだ!\n\nさて、[ff2400]ドラッグ & ドロップして[-]スーツをアーマースロットに入れよう。,
TutC2T6A2,Exit Armor Locker,アーマーロッカーを終了する,
TutC2T6A2Complete,I just noticed there's a [fff400]new info sign[-] placed on the right wall. Let's have a look.,右の壁に[fff400]新しい掲示板[-]が設置されたみたいだな。 見てみようか。,
TutC2T7Title,Suit Maintenance,スーツを修理,
TutC2T7A1,Read Notice,お知らせを読む,
TutC2T7A1Complete,"Ok, I have to [ff2400]undress my suit in the Armor Locker[-]\nand then drop it in the inventory of the repair station\nbefore using the repair station. Makes sense.\n\nAlso taking my helmet off while there is oxygen around - no brainer.\nAt least if the [ff2400]O2 icon on the bottom left[-]\nof the screen indicates a breathable atmosphere.\n\nBut the note might be here for a reason, I think.",なになに、リペアステーションを使う前に[ff2400]アーマーロッカーでスーツを脱いで[-]、\nそれからリペアステーション内に入れろ、と。なるほどな。\n\nまた、周囲に酸素がある場合、つまり[ff2400]左下のO2アイコン[-]が点灯中は\n呼吸可能なのでヘルメットを外しておく[ff2400](U)[-]こと、か。\n\n何か理由があっての注意っぽいな。,
TutC2T8Title,Remaining Duties,残業,
TutC2T8A1,Hurry Up,急げ,
TutC2T8A1Complete,[00dfff][Quartermaster][-]\n\nThe Scientists were just calling me to remind you to pick up their stuff from the Mining Base\n- and to bring back some minerals they want to have a closer look at in today's test with the Alien Artifact.\n\nSo hurry up!,[00dfff][需品将校][-]\n\n科学者たちから、あんたに仕事を思い出させろとせっつかれてるんだよ。\n採掘拠点から彼らの鉱石を拾って来て、渡せってさ。\n今日のエイリアンアーティファクトのテストで詳しく見たいらしいぞ。\n\nそら、急いだ急いだ!,
TutC2T9Title,Teleporter,テレポーター,
TutC2T9A1,Go To Level 1,1階へ行く,
TutC2T9A2,Go to Teleporter,テレポーターへ行く,
TutC3Title,Man on the Moon,月に降り立つ人,
TutC3Complete,"[f98009][IDA][-] [fbb26b]I just found a note in your private calendar: 2nd Anniversary with A. Who is A?[-]\n\nWhy do you...Oh..that's Ale..Apollon station. Work anniversary...\n\n[f98009][IDA][-] [fbb26b]Ah. Congratulations, Chief! My data indicates there is a well known tradition of offering some cake to colleagues in this case.[-]\n\nAwesome idea, IDA. But where do I get cake on a lifeless Moon?\n\n[f98009][IDA][-] [fbb26b]The Mining Hub has two Greenhouses. I suggest talking to the Officer. Maybe you can borrow some ingredients for an Anniversary Cake.[-]",[f98009][IDA][-] [fbb26b]あなたのカレンダーに、Aとの2周年、というメモを見つけました。\nAとはどなたですか?[-]\n\nちょ、おま…あ～…そりゃアレッ…アポロンステーションだ。仕事の記念日だよ…\n\n[f98009][IDA][-] [fbb26b]あぁ、それはおめでとうございます、チーフ!私のデータには、こういう時には\n同僚にケーキを振る舞う伝統があることが示されています。[-]\n\nそりゃいい案だな、IDA。だがこの生命無き月でケーキは手に入るか?\n\n[f98009][IDA][-] [fbb26b]採掘拠点には二つの温室があります。事務官と話すよう提案します。\n記念日のケーキのための食材を幾つか借りられるでしょう。[-],
TutC3T1Title,Go to the Moon,月へ行く,
TutC3T1A1,Use Teleporter,テレポーターを使う,
TutC3T2Title,UCH Officer,UCH 事務官,
TutC3T2StartMessage,I am not inside out...that's a positive I think. Let's have a look at what they want me to do.,ハエと合体は…してないな、たぶん、きっと。 さて、彼らは私に何をさせたいのか、ちょいと行ってみよう。,
TutC3T2A1,Talk to Officer,事務官と話す,
TutC3T2A1Complete,"[00dfff][Officer][-]\n\nHey Chief!\n\nThe Apollon Lab needs you to bring\nback some Promethium and Pentaxid.\n\nI am afraid I need to send you outside\n to [fff400]mine some ore[-], as we are currently out of stock.\n\n[fff400]Your equipment is stored in the Hangar over there.[-]",[00dfff][事務官][-]\n\nやあ、チーフ!\n\nアポロン研究所はあなたにプロメシウムとペンタキシドを持ってきてほしいそうです。\n\nですが現在在庫切れのため、すみませんが、あなたには\n[fff400]いくつかの鉱石を採掘[-]するために外に行ってもらうことになります。\n\n[fff400]装備はあちらの格納庫に保管されています。[-],
TutC3T3Title,Hangar,格納庫,
TutC3T3A1,Go To Hangar,格納庫へ移動する,
TutC3T3A1Complete,Whoho..THAT's cold out here..,ううぅ…こりゃ寒い…,
TutC3T3A2,Go Inside,中に入る,
TutC3T4Title,Equip Booster,ブースターを装備する,
TutC3T4StartMessage,[f98009][IDA][-] We need to increase the cold-protection of your suit.\n [fff400]Find and access the Armor Locker nearby.[-],[f98009][IDA][-] スーツの防寒性を高める必要があります。\n [fff400]近くのアーマーロッカーを探してアクセスしてください。[-],
TutC3T4A1,Find Armor Locker,アーマーロッカーを探す,
TutC3T4A1Complete,[f98009][IDA][-]\n\nThere is a Medium-Suit inside.\n\n[fff400]Swap it with your current Light-Suit.[-],[f98009][IDA][-]\n\nミディアムスーツが中にあります。\n\n[fff400]現在のライトスーツと交換してください。[-],
TutC3T4A2,Open Armor Locker,アーマーロッカーを開く,
TutC3T4A2Complete,"[f98009][IDA][-] After changing to the Medium Suit, [ff2400]drag & drop[-] the EVA BOOST to the free suit slot.\n You may also want add the OXYGEN TANK BOOST.",[f98009][IDA][-] ミディアムスーツに着替えたあと、エヴァ・ブーストを空いたブースタースロットに\n[ff2400]ドラッグ&ドロップ[-]してください。 \n 追加酸素タンクを装着することもできます。,
TutC3T4A3,Exit Armor Locker,アーマーロッカーを終了する,
TutC3T5Title,Find Equipment,装備を探す,
TutC3T5StartMessage,[00dfff][Officer][-]\n\n I am not sure where they put your mining equipment.\n\nI am afraid you need to [fff400]check the closets and containers[-] in the Hangar and\n[ff2400]put everything to your inventory for now.[-],[00dfff][事務官][-]\n\n あなたの採掘道具を彼らがどこに置いたのかはわかりません。\n\n格納庫内の[fff400]クローゼットやコンテナを調べ[-]て、\n[ff2400]全てをインベントリ内に収める[-]必要がありそうです。,
TutC3T5A1,Find Drill,ドリルを探す,
TutC3T5A1Complete,"[f98009][IDA][-] Both drills have secondary drill modes.\nPut them in a slot on your toolbar and when equipped, use [ff2400]Right Mouse Button[-] to open the MODE SELECTION menu.\nSelect the appropriate drilling mode with a [ff2400]Left Mouse button[-] click.",[f98009][IDA][-]両方のドリルには派生ドリルモードがあります。\nツールバースロットにそれらを置いて装備し、マウスの右ボタンでモード選択メニューが出ます。\n[ff2400]左クリック[-]で適切なドリルモードを選択します。,
TutC3T5A2,Find Charges,燃料を探す,
TutC3T5A2Complete,[f98009][IDA][-]\n\nBioFuel is used for Drill T1 and \n[fff400]for fueling other devices[-].\n\nThe Drill Charges are used for Drill T2 only.\n\n[fff400]Always keep ammo and charges in your inventory.[-],[f98009][IDA][-]\n\nバイオ燃料は、ドリル(T1)や\n[fff400]燃料を必要とするその他の装置[-]に使用されます。\n\nドリルチャージはドリル(T2)のみに使用されます。\n\n[fff400]インベントリ内には常に弾薬や燃料を保持しておいてください。[-],
TutC3T5A3,Find Ore Scanner,鉱石スキャナを探す,
TutC3T5A3Complete,"[f98009][IDA][-]\n\nWhile the suit will give you a rough indicator of an ore deposit,\nyou need to [fff400]have the Ore Scanner in your inventory[-]\nto reveal ore rocks beneath the ground!\n\nFor the [u]NIGHT VISION:[/u]\nPress [fff400](L)[-] twice to activate and deactivate night vision.\nThis also works when sitting in a vessel or on a bike!",[f98009][IDA][-]\n\nスーツには鉱脈の大まかな位置が表示されますが、地中に埋まった鉱石を\nさらけ出すためには[fff400]インベントリに鉱石スキャナを置いておく[-]必要があります!\n\n[u]暗視ゴーグル:[/u]\n [fff400](L)[-]を二回押すと、暗視ゴーグルのOn/Offが出来ます。\nまた、これはバイクや宇宙船などの操縦中にも動作します!,
TutC3T5A4,Find Motorbike,バイクを探す,
TutC3T5A4Complete,[f98009][IDA][-]\n\nThis bike will work best when the environment is not too hilly.\n\n[fff400]Move it to a free slot on your toolbar for placing it later on![-],[f98009][IDA][-]\n\nこのバイクは、割と平坦な場所で最も最適に使えます。\n\n[fff400]あとで設置するために、ツールバーの空いたスロットに置いておきましょう![-],
TutC3T6Title,Open Hangar door B,格納庫扉Bを開く,
TutC3T6StartMessage,[f98009][IDA][-] Now find the Lever to open the Hangar doors.,[f98009][IDA][-] 格納庫扉を開けるためのレバーを探しましょう。,
TutC3T6A1,Find Hangar door B Lever,格納庫扉Bのレバーを探す,
TutC3T6A1Complete,[f98009][IDA][-] Open the Hangar door.\n\nThen we'll [fff400]drive over to the large stones[-] next to the PERIMETER BEACON for a quick drilling test.,[f98009][IDA][-]格納庫扉を開けてください。\n\n次に、掘削テストを行うために境界ビーコンの横にある[fff400]岩石地帯まで運転[-]してください。,
TutC3T6A2,Open Hangar door,格納庫扉を開ける,
TutC3T7Title,Test Drill,ドリルをテストする,
TutC3T7StartMessage,"[f98009][IDA][-]\n\nMove the bike to your toolbar and select the slot.\nThen place the bike on the ground with a [ff2400]Left Mouse Button click[-]\n\nFace the bike and mount it by pressing [ff2400](F)[-].\n\nUse W,S,A,D to drive.\n\nMove the Mouse to change the camera viewpoint.\n\nYou can pick up the bike (and other terrain-placeables)\n by facing the bike and then using [ff2400]SHIFT + F.[-]",[f98009][IDA][-]\n\nツールバーにバイクを移動して、そのスロットを選択してください。\n次に[ff2400]左クリック[-]でバイクを設置してください。\n\nバイクに向かって[ff2400](F)[-]でバイクに乗ります。\n\nW、A、S、Dで運転します。\n\nマウスを動かすと、カメラ視点を変更できます。\n\nバイク(や地形上に設置可能なその他)に向かって[ff2400]SHIFT + F[-]で回収できます。,
TutC3T7A1,Drive to BEACON,ビーコンに向かって移動,
TutC3T8Title,Surface Mining,露天掘り,
TutC3T8StartMessage,[f98009][IDA][-]\n\nNow get off the bike and select the toolbar slot\nwhere you put either of the Drills.\n\nWith the drill in your hands [ff2400]Right Mouse click[-]\nwill bring up the [ff2400]MODE SELECTION[-].\n\nSet the mode to [fff400]STONE REMOVAL[-] with a [ff2400]Left Mouse click.[-]\n\nThen drill into some of the larger stones by holding\n[ff2400]Left Mouse button[-] and [fff400]watch the lower LEFT screen[-] if ore is picked up.\n\nNot all stones contain ore or the same amount of ore.,[f98009][IDA][-]\n\nバイクを降りて、ドリルを置いたツールバースロットを選択してください。\n\nドリルを手にして[ff2400]右クリック[-]で[ff2400]モード選択[-]が表示されます。\n\n[fff400]岩石破壊[-]モードで[ff2400]左クリック[-]するとセットされます。\n\nそして岩石に向けて[ff2400]マウス左ボタン[-]を押しっぱなしにすると岩石を掘り始め、\n何らかの鉱石が得られたなら[fff400]画面左下[-]に表示されます。\n\n全ての岩石が同じ種類、同じ量の鉱石が埋蔵しているわけではありません。,
TutC3T8A1,Pick up 7 Ore,鉱石を7個拾う,
TutC3T8A1Complete,[f98009][IDA][-] Nearly all common ores can be retrieved from small and large surface stones!,[f98009][IDA][-] ほとんどすべての一般的な鉱石は、地表にある大小の岩石から回収できます!,
TutC3T9Title,Find Promethium,プロメシウムを探す,
TutC3T9StartMessage,[f98009][IDA][-]\n\nWell done. Mount your bike again.\n\nI've marked a [fff400]nearby Promethium deposit[-] on your screen.,[f98009][IDA][-]\n\nお疲れ様です。 またバイクに乗ってください。\n\n画面上に[fff400]近くのプロメシウム鉱脈[-]を表示しました。,
TutC3T9A1,Go To Deposit,鉱脈に行く,
TutC3T9A1Complete,[i][sings] ..I'm driving on the moon someday..[/i],[i]…ある日～月をドライブしてたら～♪…[/i],
TutC3T10Title,Mine Promethium,プロメシウムを掘る,
TutC3T10StartMessage,"[f98009][IDA][-]\n\nGet off your bike and [fff400]select a drill from the toolbar[-].\n\nThis will activate the ore scanner.\n\nThe scanner will detect ore in a [ff2400]40m radius[-], by displaying [428bca]blue outlines of the ore rocks[-]\n(or green ones with Night Vision active) below the ground.\n\nThe outlines are [fff400]thicker if you are closer[-] to an ore rock.\n\nMake sure the drill is set to [ff2400]RESOURCE MINING[-].\n\nStart drilling down and into the rocks until they are picked up.\n\nDon't forget to check your [fff400]food bar[-] once in a while!",[f98009][IDA][-]\n\nバイクを降りて、また[fff400]ドリルを選択[-]してください。\n\nすると鉱石スキャナが作動します。\n\nこのスキャナは[ff2400]半径40m[-]以内にある地中の[428bca]鉱石を青い輪郭で表示[-]\n(暗視ゴーグル使用中は緑色)します。\n\n輪郭線は鉱石に[fff400]近づくと太く[-]なります。\n\nドリルモードが[ff2400]資源採掘[-]になっていることを確認してください。\n\n掘り下げていって掘り当てたら、鉱石を得られるまで掘り続けてください。\n\nその間、[fff400]食料ゲージ[-]の減りに注意してください!,
TutC3T10A1,Mine 80 Promethium,プロメシウムを80個掘る,
TutC3T11Title,Find Pentaxid,ペンタキシドを探す,
TutC3T11StartMessage,"[f98009][IDA][-]\n\nWe now need to [fff400]find a Pentaxid resource.[-]\n\nMount your bike and drive towards the [fff400]Service Station[-] marked on your screen.\n\n[u]To get out of the hole[/u], activate your [ff2400]Jetpack (J)[-], then press [ff2400](Space)[-] to jump.\n\nWatch the [fff400]Jetpack-Reload indicator[-] on the lower LEFT side of the screen.\nYou might need to wait a few seconds for the Jetpack to load up again.\n\nOf course you can jump higher in low-gravity environments!\n\nIf you drilled straight down, you might need to carve out\nramps and ledges with your drill in order to get out of the mine.",[f98009][IDA][-]\n\n今度は[fff400]ペンタキシド資源を探す[-]必要があります。\n\nバイクに乗り、画面に表示されている[fff400]サービスステーション[-]へ向かってください。\n\n[u]穴から出るためには[/u]、[ff2400]ジェットパック(J)[-]を有効化し、\nジャンプ[ff2400](Space)[-]してください。\n\n左下の[fff400]ジェットパック・リロードゲージ[-]を見てください。\nジェットパックが再び使えるようになるまで数秒かかることもあるでしょう。\n\n当然のことですが、低重力環境ならもっと高く飛ぶことができます!\n\nもしまっすぐ掘り下げてしまった場合、その坑道から出るには\nドリルで坂や岩棚を掘る必要があります。,
TutC3T11A1,Investigate Location,調査地点,
TutC3T12Title,Pickup Pentaxid,ペンタキシドを採取する,
